[2024-12-19T13:23:56.297661] Called method: FoodLogController.createFoodLog(..)
[2024-12-19T13:26:38.060255] Called method: FoodLogController.createFoodLog(..)
[2024-12-19T13:29:52.135497] Called method: FoodLogController.createFoodLog(..)
[2024-12-19T13:37:38.236351] Called method: FoodLogController.createFoodLog(..)
[2024-12-19T14:15:11.084329] Called method: FoodLogController.createFoodLog
[2024-12-19T14:15:47.013790] Called method: FoodLogController.createFoodLog
[2024-12-19T14:18:33.701429] Called method: FoodLogController.createFoodLog
[2024-12-19T14:32:05.431793] Called method: FoodLogController.createFoodLog
[2024-12-19T14:51:56.133285] Called method: FoodLogController.createFoodLog
[2024-12-19T15:50:01.323009] Called method: FoodLogController.getFoodLogsByUserAndMealType
[2024-12-19T15:52:31.389725] Called method: FoodLogController.createFoodLog
[2024-12-19T15:54:03.017678] Called method: FoodLogController.createFoodLog
[2024-12-20T12:00:48.462183] Called method: FoodLogController.createFoodLog
[2024-12-20T12:02:32.341475] Called method: FoodLogController.createFoodLog
[2024-12-20T12:03:08.036372] Called method: FoodLogController.getAllFoodLogs
[2024-12-20T15:49:18.658923] [REPOSITORY] Called method: $Proxy143.save
[2024-12-20T15:49:18.822493] [REPOSITORY] Called method: $Proxy143.save
[2024-12-20T15:49:18.911016] [REPOSITORY] Called method: $Proxy143.save
[2024-12-20T15:49:18.913030] [REPOSITORY] Called method: $Proxy146.save
[2024-12-20T15:49:18.918097] [REPOSITORY] Called method: $Proxy146.save
[2024-12-20T15:49:18.919768] [REPOSITORY] Called method: $Proxy147.save
[2024-12-20T15:49:18.923062] [REPOSITORY] Called method: $Proxy148.save
[2024-12-20T15:49:18.925488] [REPOSITORY] Called method: $Proxy148.save
[2024-12-20T15:49:18.926986] [REPOSITORY] Called method: $Proxy148.save
[2024-12-20T15:49:52.407035] [REPOSITORY] Called method: $Proxy143.findByUsername
[2024-12-20T15:50:01.331154] [REPOSITORY] Called method: $Proxy143.findByUsername
[2024-12-20T15:50:01.504062] [CONTROLLER] Called method: FoodLogController.createFoodLog
[2024-12-20T15:50:01.505410] [REPOSITORY] Called method: $Proxy143.findById
[2024-12-20T15:50:01.514054] [REPOSITORY] Called method: $Proxy146.save
[2024-12-20T16:03:52.686096] [REPOSITORY] Called method: $Proxy144.save
[2024-12-20T16:03:52.843845] [REPOSITORY] Called method: $Proxy144.save
[2024-12-20T16:03:52.938416] [REPOSITORY] Called method: $Proxy144.save
[2024-12-20T16:03:52.940721] [REPOSITORY] Called method: $Proxy147.save
[2024-12-20T16:03:52.945749] [REPOSITORY] Called method: $Proxy147.save
[2024-12-20T16:03:52.947933] [REPOSITORY] Called method: $Proxy148.save
[2024-12-20T16:03:52.952003] [REPOSITORY] Called method: $Proxy149.save
[2024-12-20T16:03:52.954601] [REPOSITORY] Called method: $Proxy149.save
[2024-12-20T16:03:52.956145] [REPOSITORY] Called method: $Proxy149.save
[2024-12-20T16:06:47.674888] [REPOSITORY] Called method: $Proxy144.save
[2024-12-20T16:06:47.835158] [REPOSITORY] Called method: $Proxy144.save
[2024-12-20T16:06:47.923650] [REPOSITORY] Called method: $Proxy144.save
[2024-12-20T16:06:47.925566] [REPOSITORY] Called method: $Proxy148.save
[2024-12-20T16:06:47.928999] [REPOSITORY] Called method: $Proxy148.save
[2024-12-20T16:06:47.930561] [REPOSITORY] Called method: $Proxy149.save
[2024-12-20T16:06:47.934188] [REPOSITORY] Called method: $Proxy150.save
[2024-12-20T16:06:47.937130] [REPOSITORY] Called method: $Proxy150.save
[2024-12-20T16:06:47.938536] [REPOSITORY] Called method: $Proxy150.save
[2024-12-20T16:08:11.427286] [REPOSITORY] Called method: $Proxy145.save
[2024-12-20T16:08:11.588387] [REPOSITORY] Called method: $Proxy145.save
[2024-12-20T16:08:11.675654] [REPOSITORY] Called method: $Proxy145.save
[2024-12-20T16:08:11.677544] [REPOSITORY] Called method: $Proxy148.save
[2024-12-20T16:08:11.681281] [REPOSITORY] Called method: $Proxy148.save
[2024-12-20T16:08:11.683221] [REPOSITORY] Called method: $Proxy149.save
[2024-12-20T16:08:11.686365] [REPOSITORY] Called method: $Proxy150.save
[2024-12-20T16:08:11.688902] [REPOSITORY] Called method: $Proxy150.save
[2024-12-20T16:08:11.690464] [REPOSITORY] Called method: $Proxy150.save
[2024-12-20T16:30:25.167272] [REPOSITORY] Called method: $Proxy145.save
[2024-12-20T16:30:25.333833] [REPOSITORY] Called method: $Proxy145.save
